ID,Event_team,Player,playerno,Shot_place,Shot_outcome,Location,Body_Part,assist_method,Situation,fastbreak,is_goal,xG
7,Redlands,Steve Acuna,0,2,3,10,1,0,1,0,0,0
7,Occidental,Adrian Paredes,14,8,2,18,1,1,1,0,0,0
7,Redlands,Collin ChubbFertal,0,8,1,9,3,2,2,0,0,1
7,Occidental,Adrian Paredes,14,4,1,14,1,0,4,0,1,0.79
7,Occidental,Nicolas Eble,6,8,2,15,1,0,4,0,0,0
7,Redlands,Matias Lazo-Fanning,0,9,2,17,1,0,1,0,0,0
7,Occidental,Ben Simon,8,4,1,17,2,0,1,0,0,0.09
7,Occidental,Riley McCabe,2,2,3,13,1,2,3,0,0,0
7,Redlands,Jonathan Cheung,0,2,3,3,1,0,1,0,0,0
7,Occidental,Nicolas Eble,6,4,4,13,3,2,3,0,0,0
7,Redlands,Ethan Kovach,0,3,1,9,2,0,1,0,0,0.16
7,Redlands,Joseph Parra,0,13,1,8,1,2,1,1,0,1
7,Redlands,Ethan Kovach,0,3,1,10,2,4,1,1,0,1
7,Redlands,Collin ChubbFertal,0,1,2,15,2,0,1,0,0,0
8,CMS,Will Barton,0,4,1,15,1,0,1,1,1,1
8,CMS,Cole Smith,0,8,2,5,1,4,1,1,0,0
8,Occidental,Riley McCabe,2,5,1,3,3,0,2,0,0,1
8,Occidental,Adrian Paredes,14,8,2,18,1,0,1,0,0,0
8,CMS,Will Barton,0,4,4,3,1,4,1,0,0,0
8,CMS,Justin Blachman,0,1,2,13,3,2,1,1,0,0
8,Occidental,Jake Foster,18,6,2,17,1,1,1,0,0,0
8,CMS,Henry Kraham,0,9,2,5,1,1,1,0,0,0
8,Occidental,Marcus Blumenfeld,9,8,2,12,1,4,1,0,0,0
8,Occidental,Riley McCabe,2,10,2,3,2,0,1,0,0,0
8,Occidental,Ryan Wilson,4,6,2,3,3,0,2,0,0,0
8,Occidental,Adrian Paredes,14,5,1,15,1,0,1,0,0,0.02
8,Occidental,Logan Myers,16,9,2,15,2,0,1,0,0,0
8,Occidental,Jasper Brannon,10,3,1,17,1,0,1,0,0,0
8,CMS,Jake Allmon,0,9,2,3,1,0,1,1,0,0
8,CMS,Samay Rahim,0,2,3,17,1,0,1,0,0,0
8,Occidental,Tyler Wray,17,6,2,3,2,0,1,0,0,0
8,Occidental,Adrian Paredes,14,12,1,10,3,2,3,0,1,1
8,CMS,Tyler Chen,0,2,3,3,2,0,1,0,0,0
8,CMS,Adam Singer,0,8,2,3,3,0,2,0,0,0
8,Occidental,Jack Meeker,13,2,3,10,2,0,1,1,0,0
8,CMS,Adam Singer,0,3,1,13,3,2,1,1,1,1
8,CMS,Jake Allmon,0,3,1,15,1,4,1,1,1,1
8,Occidental,Logan Myers,16,10,2,3,1,3,2,0,0,0
9,Chapman,Justo Garcia,0,3,1,11,1,4,1,1,1,1
9,Occidental,Logan Myers,16,9,2,15,2,2,1,0,0,0
9,Chapman,Aidan Wall,0,12,1,5,2,1,1,0,1,0.13
9,Occidental,Matthew Teplitz,7,6,2,5,2,0,1,0,0,0
9,Occidental,Joey Schwartz,19,6,2,3,1,2,1,0,0,0
9,Occidental,Adrian Paredes,14,8,2,17,1,0,4,0,0,0
9,Occidental,Neython Streitz,25,8,2,18,1,0,1,0,0,0
9,Occidental,Adrian Paredes,14,10,2,18,1,1,1,0,0,0
9,Chapman,Justo Garcia,0,10,2,8,1,3,1,0,0,0
9,Occidental,Adrian Paredes,14,9,2,17,1,1,1,0,0,0
9,Occidental,Logan Myers,16,8,2,15,2,0,1,0,0,0
9,Occidental,Ryan Wilson,4,4,1,16,1,4,1,0,0,0.52
9,Occidental,Ryan Wilson,4,10,2,13,3,2,1,0,0,0
9,Occidental,Spencer Shearer,3,3,3,11,1,0,1,0,0,0
10,Occidental,Logan Myers,16,8,2,15,2,1,1,0,0,0
10,Whittier,Matteo Loi,0,11,1,7,1,0,1,0,1,0
10,Occidental,Adrian Paredes,14,11,1,17,1,0,1,0,0,0
10,Occidental,Matthew Teplitz,7,5,1,5,2,0,1,0,0,0
10,Whittier,Matteo Loi,0,13,1,14,1,0,2,0,1,0.99
10,Whittier,Nicolas Barrera,0,3,1,15,1,0,1,0,0,0.08
10,Occidental,Matthew Teplitz,7,4,1,17,2,0,1,0,0,0.09
10,Occidental,Jack Meeker,13,8,2,5,1,0,1,0,0,0
10,Occidental,Nicolas Eble,6,4,1,13,1,1,1,0,1,0.82
10,Occidental,Adrian Paredes,14,2,3,17,1,0,1,0,0,0
10,Occidental,Logan Myers,16,8,2,9,2,0,1,0,0,0
10,Whittier,Ian Nicolas,0,5,1,3,3,2,1,1,0,1
10,Occidental,Adrian Paredes,14,5,1,18,1,0,1,0,0,0.01
10,Whittier,Zach Guarino,0,12,1,3,1,4,1,1,1,1
10,Occidental,Ryan Wilson,4,5,1,3,1,2,1,0,0,0.17
11,Occidental,Nicolas Eble,6,4,1,15,1,0,1,0,0,0.12
11,Pomona-Pitzer,Dylan McCuskey,0,6,2,3,3,0,1,0,0,0
11,Pomona-Pitzer,Eamon Stein,0,5,1,12,2,0,1,0,0,0.09
11,Pomona-Pitzer,Jore Guillen-Lopez,0,6,2,3,3,0,1,0,0,0
11,Pomona-Pitzer,Eamon Stein,0,4,2,15,2,0,1,0,0,0
11,Pomona-Pitzer,Graeme Logan,0,9,2,15,2,0,1,0,0,0
11,Occidental,Joey Schwartz,19,2,3,15,2,0,1,0,0,0
11,Pomona-Pitzer,Graeme Logan,0,4,2,15,2,0,1,0,0,0
11,Pomona-Pitzer,Zach Friedman,0,5,1,12,3,2,1,0,1,0.19
11,Occidental,Adrian Paredes,14,4,1,14,1,0,2,0,1,0.79
11,Pomona-Pitzer,Henry Smith,0,3,1,13,1,0,1,0,1,0.81
11,Occidental,Ryan Wilson,4,8,2,15,1,0,2,0,0,0
11,Occidental,Joey Schwartz,19,9,2,12,1,2,1,0,0,0
11,Occidental,Joey Schwartz,19,5,1,15,1,0,1,0,0,0.02
12,Occidental,Adrian Paredes,14,9,2,17,1,0,1,0,0,0
12,Occidental,Jack Meeker,13,2,3,15,1,0,1,0,0,0
12,Occidental,David Paine,5,9,2,12,3,0,1,0,0,0
12,Occidental,Nicolas Eble,6,5,1,15,1,0,1,0,0,0.02
12,Cal Lutheran,Igor Lumbrano,0,5,1,14,1,0,2,0,1,0.75
12,Occidental,Adrian Paredes,14,9,1,17,1,0,1,0,0,0
12,Occidental,Adrian Paredes,14,5,1,17,1,0,1,0,0,0.03
12,Occidental,OG by Goalie,101,5,1,19,1,0,2,0,1,1
12,Cal Lutheran,Adrian Graciano,0,8,2,11,3,0,1,0,0,0
12,Occidental,Marcus Blumenfeld,9,4,1,15,1,0,1,0,0,0.12
12,Occidental,Adrian Paredes,14,5,1,14,1,0,1,0,1,0.58
12,Occidental,David Paine,5,9,2,9,3,2,2,0,0,0
12,Occidental,Logan Myers,16,2,3,15,2,2,1,0,0,0
12,Occidental,Joey Schwartz,19,6,2,15,1,0,1,0,0,0
12,Occidental,Joey Schwartz,19,10,2,3,1,0,1,0,0,0
12,Cal Lutheran,McKay Severance,0,8,2,3,1,2,1,0,0,0
12,Cal Lutheran,Juan Valencia,0,5,1,9,1,0,1,1,0,1
12,Cal Lutheran,Aaron Wisnick,0,5,1,8,1,0,1,0,0,0.15
12,Occidental,Jack Meeker,13,10,2,15,2,0,1,0,0,0
13,Occidental,Nicolas Eble,6,1,2,15,1,0,4,0,0,0
13,Cal Tech,Josh Finnerty,0,9,2,9,3,0,1,0,0,0
13,Occidental,Nicolas Eble,6,2,3,8,1,0,1,0,0,0
13,Occidental,Nicolas Eble,6,2,3,15,1,0,1,0,0,0
13,Occidental,Nicolas Eble,6,9,1,3,1,0,1,0,0,0
13,Occidental,Adrian Paredes,14,2,3,15,1,0,4,0,0,0
